timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1662395098528,11,HTTP Request Small PDF,200,OK,Thread Group 1 1-5,text,true,,10294,122,30,30,http://192.168.188.134/small.pdf,11,0,1
1662395098531,14,HTTP Request Small HTML,200,OK,Thread Group 1 1-21,text,true,,5230,123,30,30,http://192.168.188.134/small.html,14,0,6
1662395098529,18,HTTP Request Small PNG,200,OK,Thread Group 1 1-7,bin,true,,10410,122,30,30,http://192.168.188.134/small.png,16,0,2
1662395098533,16,HTTP Request Small HTML,200,OK,Thread Group 1 1-20,text,true,,5230,123,30,30,http://192.168.188.134/small.html,16,0,4
1662395098530,20,HTTP Request Small PDF,200,OK,Thread Group 1 1-10,text,true,,10294,122,30,30,http://192.168.188.134/small.pdf,15,0,6
1662395098531,24,HTTP Request Small PDF,200,OK,Thread Group 1 1-16,text,true,,10294,122,30,30,http://192.168.188.134/small.pdf,15,0,6
1662395098534,21,HTTP Request Small HTML,200,OK,Thread Group 1 1-29,text,true,,5230,123,30,30,http://192.168.188.134/small.html,14,0,7
1662395098536,19,HTTP Request Small PDF,200,OK,Thread Group 1 1-27,text,true,,10294,122,30,30,http://192.168.188.134/small.pdf,13,0,5
1662395098534,21,HTTP Request Small PNG,200,OK,Thread Group 1 1-26,bin,true,,10410,122,30,30,http://192.168.188.134/small.png,15,0,5
1662395098536,20,HTTP Request Small PNG,200,OK,Thread Group 1 1-28,bin,true,,10410,122,30,30,http://192.168.188.134/small.png,12,0,5
1662395098530,32,HTTP Request Small PDF,200,OK,Thread Group 1 1-13,text,true,,10294,122,30,30,http://192.168.188.134/small.pdf,25,0,6
1662395098528,51,HTTP Request Small PNG,200,OK,Thread Group 1 1-4,bin,true,,10410,122,30,30,http://192.168.188.134/small.png,7,0,1
1662395098529,87,HTTP Request Medium HTML,200,OK,Thread Group 1 1-12,text,true,,250313,124,30,30,http://192.168.188.134/medium.html,11,0,6
1662395098531,92,HTTP Request Medium PNG,200,OK,Thread Group 1 1-17,bin,true,,241897,123,30,30,http://192.168.188.134/medium.png,32,0,6
1662395098531,92,HTTP Request Medium HTML,200,OK,Thread Group 1 1-15,text,true,,250313,124,30,30,http://192.168.188.134/medium.html,16,0,6
1662395098528,99,HTTP Request Medium PDF,200,OK,Thread Group 1 1-1,text,true,,250296,123,30,30,http://192.168.188.134/medium.pdf,8,0,2
1662395098534,93,HTTP Request Medium HTML,200,OK,Thread Group 1 1-25,text,true,,250313,124,30,30,http://192.168.188.134/medium.html,15,0,5
1662395098532,102,HTTP Request Medium HTML,200,OK,Thread Group 1 1-19,text,true,,250313,124,30,30,http://192.168.188.134/medium.html,31,0,5
1662395098529,112,HTTP Request Medium HTML,200,OK,Thread Group 1 1-11,text,true,,250313,124,30,30,http://192.168.188.134/medium.html,16,0,6
1662395098536,130,HTTP Request Medium HTML,200,OK,Thread Group 1 1-30,text,true,,250313,124,30,30,http://192.168.188.134/medium.html,12,0,5
1662395098527,543,HTTP Request Large PDF,200,OK,Thread Group 1 1-2,text,true,,5000298,122,30,30,http://192.168.188.134/large.pdf,14,0,3
1662395099132,9,HTTP Request Small PDF,200,OK,Thread Group 1 1-16,text,true,,10293,122,30,30,http://192.168.188.134/small.pdf,8,0,0
1662395099134,20,HTTP Request Small PDF,200,OK,Thread Group 1 1-20,text,true,,10293,122,30,30,http://192.168.188.134/small.pdf,12,0,0
